id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
23645411,79424,0,10,0,Roma Norte,Cuauhtémoc,6700,19.41392,-99.16231,2,1,1,1,816,4000,300,1,100,47,12/3/18,2/7/19,89,0,0,1,0,0,0,0,1,1,0,0,0,0,16.13174809,1,6.704414355,La Condesa,1.551862574,Hospital General_1,0.955188046
23650391,79454,0,3,1,Hipódromo,Cuauhtémoc,6100,19.40639,-99.17309,3,2,1,1,2182,2846,949,1,0,11,1/4/18,12/6/19,98,0,0,1,1,0,0,1,1,1,1,0,0,0,15.4746504,1,7.687997166,La Condesa,0.95938945,Chilpancingo_1_2,0.506405399
23652527,79484,1,6,1,Roma Norte,Cuauhtémoc,6700,19.41318,-99.16346,2,1,1,1,1423,3794,0,1,0,122,14/3/18,7/7/19,95,1,0,1,0,0,0,0,1,1,0,0,0,0,16.06603832,1,7.260522598,La Condesa,1.435142183,Chilpancingo_1_2,0.968759744
23659772,79511,0,1,0,Tabacalera,Cuauhtémoc,6030,19.43411,-99.15405,2,1.5,1,1,1100,0,0,1,150,55,15/4/18,10/6/19,96,0,0,0,0,1,0,1,1,1,1,1,0,1,15.01468203,1,7.003065459,Paseo de la Reforma,0.15711236,Revolución_1,0.521700189
23661973,79544,1,1,0,Condesa,Cuauhtémoc,6140,19.41155,-99.17617,3,1,2,0,1499,0,300,1,0,37,19/3/18,28/6/19,99,1,1,0,0,0,1,1,1,1,0,0,1,0,15.9017639,1,7.312553498,La Condesa,0.304799133,Juanacatlán,0.636359489
23663566,79579,1,44,0,Tabacalera,Cuauhtémoc,6030,19.43424,-99.15411,4,1.5,1,1,1366,1897,379,2,379,14,18/3/18,7/6/19,94,1,0,1,0,1,0,1,1,0,1,1,0,1,15.93461878,1,7.21964204,Monumento y Museo de la Revolución,0.147738825,Revolución_1,0.507499184
23666725,79609,1,18,1,Santa María La Ribera,Cuauhtémoc,6400,19.45053,-99.16111,4,2,2,2,1802,0,0,4,0,105,12/3/18,8/7/19,98,1,0,1,0,0,0,0,1,1,0,0,0,0,16.13174809,1,7.496652438,Monumento y Museo de la Revolución,1.80725507,Normal,0.94527929
23668481,79647,0,2,0,San Miguel Chapultepec,Miguel Hidalgo,11840,19.40648,-99.19711,3,1,2,2,1005,0,500,2,97,17,15/4/18,7/6/19,85,0,0,1,0,0,0,1,1,1,0,0,0,0,15.01468203,1,6.91274282,Lago del Bosque de Chapultepec,1.973486252,Constituyentes_1_2,0.803828156
23669473,79659,1,1,0,Campestre/Guadalupe Inn,Álvaro Obregón,1010,19.36102,-99.1895,4,1,2,3,1347,2016,350,3,350,15,21/3/18,15/4/19,95,1,0,0,1,0,0,0,1,1,0,0,1,0,15.83605413,1,7.205635176,San Ángel,1.679491535,Barranca del Muerto,0.077013223
23671460,79694,0,1,0,Roma Sur,Cuauhtémoc,6760,19.41046,-99.16632,3,1.5,1,1,702,9000,280,1,95,83,14/3/18,6/7/19,94,1,0,0,0,0,0,0,1,1,0,0,0,0,16.06603832,1,6.553933404,La Condesa,1.203188413,Chilpancingo_1_2,0.562615292
